event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e86,Control,enter_room,26:01:01T08:05:11.37,26:01:01T08:05:13.71,r1,,,
e87,Control,position,26:01:01T08:05:13.71,26:01:01T08:05:15.99,r1,,,
e88,Task,inspect,26:01:01T08:05:15.99,26:01:01T08:05:22.92,r1,m7,m7_s1,t55
e103,Control,navigate,26:01:01T08:05:22.92,26:01:01T08:06:10.06,r1,,,
e95,Control,enter_room,26:01:01T08:05:30.34,26:01:01T08:05:32.24,r5,,,
e96,Control,position,26:01:01T08:05:32.24,26:01:01T08:05:34.63,r5,,,
e341,Control,position,26:01:01T08:05:32.50,26:01:01T08:05:34.62,r8,,,
e342,Task,empty_bin,26:01:01T08:05:34.62,26:01:01T08:05:44.48,r8,m6,m6_s3,t54
e97,Task,inspect,26:01:01T08:05:34.63,26:01:01T08:05:41.88,r5,m7,m7_s3,t61
e90,Control,enter_room,26:01:01T08:05:39.21,26:01:01T08:05:41.20,r3,,,
e99,Control,enter_room,26:01:01T08:05:40.87,26:01:01T08:05:43.10,r7,,,
e91,Control,localize,26:01:01T08:05:41.20,26:01:01T08:05:42.97,r3,,,
e108,Control,navigate,26:01:01T08:05:41.88,26:01:01T08:06:09.86,r5,,,
e92,Control,clean_path,26:01:01T08:05:42.97,26:01:01T08:05:50.65,r3,,,
e100,Control,localize,26:01:01T08:05:43.10,26:01:01T08:05:45.06,r7,,,
e101,Control,clean_path,26:01:01T08:05:45.06,26:01:01T08:05:52.82,r7,,,
e93,Task,vacuum,26:01:01T08:05:50.65,26:01:01T08:06:11.24,r3,m7,m7_s2,t59
e102,Task,vacuum,26:01:01T08:05:52.82,26:01:01T08:06:22.39,r7,m1,m1_s1,t2
e109,Control,enter_room,26:01:01T08:06:09.86,26:01:01T08:06:11.69,r5,,,
e104,Control,enter_room,26:01:01T08:06:10.06,26:01:01T08:06:12.46,r1,,,
e117,Control,navigate,26:01:01T08:06:11.24,26:01:01T08:06:20.70,r3,,,
e353,Control,navigate,26:01:01T08:06:11.24,26:01:01T08:06:28.52,r4,,,
e110,Control,localize,26:01:01T08:06:11.69,26:01:01T08:06:14.07,r5,,,
e105,Control,localize,26:01:01T08:06:12.46,26:01:01T08:06:14.50,r1,,,
e111,Control,clean_path,26:01:01T08:06:14.07,26:01:01T08:06:22.32,r5,,,
e106,Control,clean_path,26:01:01T08:06:14.50,26:01:01T08:06:23.20,r1,,,
e118,Control,enter_room,26:01:01T08:06:20.70,26:01:01T08:06:22.70,r3,,,
e112,Task,vacuum,26:01:01T08:06:22.32,26:01:01T08:06:47.75,r5,m8,m8_s1,t65
e356,Control,navigate,26:01:01T08:06:22.39,26:01:01T08:06:29.11,r6,,,
e126,Control,navigate,26:01:01T08:06:22.39,26:01:01T08:07:06.97,r7,,,
e119,Control,localize,26:01:01T08:06:22.70,26:01:01T08:06:24.98,r3,,,
e107,Task,vacuum,26:01:01T08:06:23.20,26:01:01T08:06:44.75,r1,m1,m1_s3,t8
e120,Control,clean_path,26:01:01T08:06:24.98,26:01:01T08:06:31.89,r3,,,
e354,Control,position,26:01:01T08:06:28.52,26:01:01T08:06:30.62,r4,,,
e357,Control,enter_room,26:01:01T08:06:29.11,26:01:01T08:06:31.36,r6,,,
