task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t92,harvest,m10,m10_s2,segment,r4,random,2026-01-01T08:40:11.35,e649,2026-01-01T08:44:03.23,2026-01-01T08:44:30.82
t156,harvest,m17,m17_s1,segment,r5,random,2026-01-01T08:40:46.65,e654,2026-01-01T09:31:57.92,2026-01-01T09:32:22.28
t54,harvest,m6,m6_s2,segment,r4,random,2026-01-01T08:41:07.31,e659,2026-01-01T08:45:13.74,2026-01-01T08:45:33.65
t85,harvest,m9,m9_s3,segment,r4,random,2026-01-01T08:41:33.36,e664,2026-01-01T08:47:33.91,2026-01-01T08:47:53.45
t187,harvest,m20,m20_s2,segment,r8,random,2026-01-01T08:42:24.23,e669,2026-01-01T08:44:12.43,2026-01-01T08:44:37.49
t110,spray,m12,m12_s2,segment,r7,random,2026-01-01T08:42:38.95,e673,2026-01-01T08:44:53.46,2026-01-01T08:45:10.67
t175,harvest,m19,m19_s1,segment,r4,random,2026-01-01T08:43:17.45,e678,2026-01-01T08:49:24.61,2026-01-01T08:49:47.58
t167,spray,m18,m18_s2,segment,r3,random,2026-01-01T08:44:53.15,e682,2026-01-01T08:58:32.46,2026-01-01T08:58:54.02
t165,harvest,m18,m18_s1,segment,r4,random,2026-01-01T08:45:06.70,e687,2026-01-01T08:50:58.69,2026-01-01T08:51:26.47
t111,harvest,m12,m12_s2,segment,r1,random,2026-01-01T08:45:10.67,e692,2026-01-01T08:56:27.77,2026-01-01T08:56:47.77
t57,final_inspection,m6,,mission,r3,random,2026-01-01T08:45:33.65,e696,2026-01-01T08:59:56.42,2026-01-01T09:00:05.65
t139,harvest,m15,m15_s2,segment,r8,random,2026-01-01T08:46:35.68,e701,2026-01-01T08:48:48.79,2026-01-01T08:49:14.21
t141,spray,m15,m15_s3,segment,r3,random,2026-01-01T08:46:38.76,e708,2026-01-01T09:01:16.74,2026-01-01T09:01:32.75
t151,harvest,m16,m16_s3,segment,r4,random,2026-01-01T08:48:44.51,e713,2026-01-01T08:52:55.81,2026-01-01T08:53:21.66
t95,final_inspection,m10,,mission,r1,random,2026-01-01T08:49:13.57,e717,2026-01-01T08:58:46.83,2026-01-01T08:58:53.54
t179,spray,m19,m19_s3,segment,r2,random,2026-01-01T08:50:19.22,e721,2026-01-01T08:53:27.12,2026-01-01T08:53:48.39
t38,final_inspection,m4,,mission,r7,random,2026-01-01T08:50:35.49,e725,2026-01-01T08:53:34.61,2026-01-01T08:53:41.27
t189,harvest,m20,m20_s3,segment,r4,random,2026-01-01T08:50:58.09,e730,2026-01-01T08:54:36.05,2026-01-01T08:54:55.63
t124,final_inspection,m13,,mission,r7,random,2026-01-01T08:51:01.34,e734,2026-01-01T08:55:07.48,2026-01-01T08:55:16.22
t42,harvest,m5,m5_s1,segment,r1,random,2026-01-01T08:52:27.34,e742,2026-01-01T09:00:37.12,2026-01-01T09:00:56.99
t177,harvest,m19,m19_s2,segment,r8,random,2026-01-01T08:53:41.74,e747,2026-01-01T08:54:09.93,2026-01-01T08:54:31.47
t180,harvest,m19,m19_s3,segment,r5,random,2026-01-01T08:53:48.39,e752,2026-01-01T09:35:31.70,2026-01-01T09:35:51.69
t28,harvest,m3,m3_s3,segment,r8,random,2026-01-01T08:54:27.37,e757,2026-01-01T08:54:45.75,2026-01-01T08:55:10.53
t133,final_inspection,m14,,mission,r1,random,2026-01-01T08:55:48.09,e761,2026-01-01T09:02:28.25,2026-01-01T09:02:37.71
t114,final_inspection,m12,,mission,r5,random,2026-01-01T08:56:47.77,e768,2026-01-01T09:39:48.51,2026-01-01T09:39:56.15
t104,harvest,m11,m11_s3,segment,r5,random,2026-01-01T08:56:59.93,e773,2026-01-01T09:41:32.10,2026-01-01T09:42:00.07
t184,harvest,m20,m20_s1,segment,r5,random,2026-01-01T08:57:13.60,e778,2026-01-01T09:43:44.65,2026-01-01T09:44:07.47
t168,harvest,m18,m18_s2,segment,r4,random,2026-01-01T08:58:54.02,e786,2026-01-01T09:00:42.93,2026-01-01T09:01:11.67
t67,final_inspection,m7,,mission,r1,random,2026-01-01T08:59:03.83,e790,2026-01-01T09:03:05.80,2026-01-01T09:03:12.62
t48,final_inspection,m5,,mission,r7,random,2026-01-01T09:00:56.99,e794,2026-01-01T09:02:33.19,2026-01-01T09:02:40.23
t171,final_inspection,m18,,mission,r7,random,2026-01-01T09:01:11.67,e798,2026-01-01T09:05:06.84,2026-01-01T09:05:14.05
t142,harvest,m15,m15_s3,segment,r5,random,2026-01-01T09:01:32.75,e803,2026-01-01T09:47:06.76,2026-01-01T09:47:34.72
t29,final_inspection,m3,,mission,r5,random,2026-01-01T09:07:19.47,e807,2026-01-01T09:48:43.14,2026-01-01T09:48:52.42
t10,final_inspection,m1,,mission,r7,random,2026-01-01T09:11:36.68,e811,2026-01-01T09:13:14.63,2026-01-01T09:13:23.37
t86,final_inspection,m9,,mission,r7,random,2026-01-01T09:16:09.88,e815,2026-01-01T09:16:59.55,2026-01-01T09:17:08.20
t19,final_inspection,m2,,mission,r7,random,2026-01-01T09:18:10.73,e819,2026-01-01T09:20:35.92,2026-01-01T09:20:45.05
t152,final_inspection,m16,,mission,r5,random,2026-01-01T09:21:56.49,e823,2026-01-01T09:50:18.06,2026-01-01T09:50:26.20
t76,final_inspection,m8,,mission,r7,random,2026-01-01T09:24:35.42,e827,2026-01-01T09:27:25.74,2026-01-01T09:27:33.64
t162,final_inspection,m17,,mission,r7,random,2026-01-01T09:32:22.28,e834,2026-01-01T09:33:35.55,2026-01-01T09:33:42.83
t181,final_inspection,m19,,mission,r5,random,2026-01-01T09:35:51.69,e838,2026-01-01T09:52:14.84,2026-01-01T09:52:24.16
t105,final_inspection,m11,,mission,r5,random,2026-01-01T09:42:00.07,e842,2026-01-01T09:54:03.86,2026-01-01T09:54:11.27
t190,final_inspection,m20,,mission,r3,random,2026-01-01T09:44:07.47,e846,2026-01-01T09:45:49.61,2026-01-01T09:45:58.50
t143,final_inspection,m15,,mission,r7,random,2026-01-01T09:47:34.72,e850,2026-01-01T09:50:32.23,2026-01-01T09:50:39.61
