pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,segment,m4_s1,e84,e267,r7,r4,,,,,,,,,,,,,,
handover,segment,m4_s2,e293,e390,r2,r8,,,,,,,,,,,,,,
handover,segment,m4_s2,e88,e293,r1,r2,,,,,,,,,,,,,,
handover,segment,m4_s3,e92,e272,r5,r4,,,,,,,,,,,,,,
handover,segment,m5_s1,e257,e335,r2,r4,,,,,,,,,,,,,,
handover,segment,m5_s1,e68,e257,r1,r2,,,,,,,,,,,,,,
handover,segment,m5_s2,e72,e225,r7,r4,,,,,,,,,,,,,,
handover,segment,m5_s3,e229,e340,r6,r8,,,,,,,,,,,,,,
handover,segment,m5_s3,e76,e229,r3,r6,,,,,,,,,,,,,,
handover,segment,m6_s1,e173,e490,r1,r8,,,,,,,,,,,,,,
handover,segment,m6_s2,e177,e385,r5,r6,,,,,,,,,,,,,,
handover,segment,m6_s2,e385,e504,r6,r5,,,,,,,,,,,,,,
handover,segment,m6_s3,e181,e466,r3,r4,,,,,,,,,,,,,,
handover,segment,m7_s1,e120,e377,r5,r6,,,,,,,,,,,,,,
handover,segment,m7_s1,e377,e480,r6,r8,,,,,,,,,,,,,,
handover,segment,m7_s2,e124,e318,r1,r4,,,,,,,,,,,,,,
handover,segment,m7_s3,e128,e381,r3,r2,,,,,,,,,,,,,,
handover,segment,m7_s3,e381,e475,r2,r4,,,,,,,,,,,,,,
handover,segment,m8_s1,e200,e485,r3,r4,,,,,,,,,,,,,,
handover,segment,m8_s2,e204,e406,r5,r6,,,,,,,,,,,,,,
handover,segment,m8_s2,e406,e509,r6,r4,,,,,,,,,,,,,,
handover,segment,m8_s3,e208,e461,r7,r8,,,,,,,,,,,,,,
handover,segment,m9_s1,e233,e528,r7,r2,,,,,,,,,,,,,,
handover,segment,m9_s1,e528,e582,r2,r8,,,,,,,,,,,,,,
handover,segment,m9_s2,e237,e514,r3,r1,,,,,,,,,,,,,,
handover,segment,m9_s3,e241,e499,r5,r2,,,,,,,,,,,,,,
handover,segment,m9_s3,e499,e562,r2,r8,,,,,,,,,,,,,,
objective_switch,mission,,e116,e124,,,r1,m3,m7,,,,,,,,,,,
objective_switch,mission,,e12,e32,,,r1,m3,m1,,,,,,,,,,,
objective_switch,mission,,e124,e132,,,r1,m7,m15,,,,,,,,,,,
objective_switch,mission,,e132,e136,,,r1,m15,m16,,,,,,,,,,,
objective_switch,mission,,e136,e144,,,r1,m16,m18,,,,,,,,,,,
objective_switch,mission,,e144,e173,,,r1,m18,m6,,,,,,,,,,,
objective_switch,mission,,e173,e220,,,r1,m6,m10,,,,,,,,,,,
objective_switch,mission,,e220,e245,,,r1,m10,m11,,,,,,,,,,,
objective_switch,mission,,e245,e289,,,r1,m11,m13,,,,,,,,,,,
objective_switch,mission,,e289,e322,,,r1,m13,m14,,,,,,,,,,,
objective_switch,mission,,e32,e36,,,r1,m1,m6,,,,,,,,,,,
objective_switch,mission,,e322,e349,,,r1,m14,m15,,,,,,,,,,,
objective_switch,mission,,e349,e373,,,r1,m15,m16,,,,,,,,,,,
objective_switch,mission,,e36,e68,,,r1,m6,m5,,,,,,,,,,,
objective_switch,mission,,e373,e402,,,r1,m16,m17,,,,,,,,,,,
objective_switch,mission,,e402,e414,,,r1,m17,m18,,,,,,,,,,,
objective_switch,mission,,e414,e448,,,r1,m18,m19,,,,,,,,,,,
objective_switch,mission,,e448,e495,,,r1,m19,m10,,,,,,,,,,,
objective_switch,mission,,e495,e514,,,r1,m10,m9,,,,,,,,,,,
objective_switch,mission,,e514,e570,,,r1,m9,m11,,,,,,,,,,,
objective_switch,mission,,e570,e619,,,r1,m11,m12,,,,,,,,,,,
objective_switch,mission,,e619,e641,,,r1,m12,m11,,,,,,,,,,,
objective_switch,mission,,e641,e682,,,r1,m11,m15,,,,,,,,,,,
objective_switch,mission,,e68,e88,,,r1,m5,m4,,,,,,,,,,,
objective_switch,mission,,e682,e701,,,r1,m15,m18,,,,,,,,,,,
objective_switch,mission,,e701,e733,,,r1,m18,m20,,,,,,,,,,,
objective_switch,mission,,e733,e747,,,r1,m20,m17,,,,,,,,,,,
objective_switch,mission,,e747,e794,,,r1,m17,m19,,,,,,,,,,,
objective_switch,mission,,e88,e116,,,r1,m4,m3,,,,,,,,,,,
objective_switch,mission,,e169,e257,,,r2,m1,m5,,,,,,,,,,,
objective_switch,mission,,e257,e293,,,r2,m5,m4,,,,,,,,,,,
objective_switch,mission,,e293,e309,,,r2,m4,m3,,,,,,,,,,,
objective_switch,mission,,e309,e381,,,r2,m3,m7,,,,,,,,,,,
objective_switch,mission,,e381,e456,,,r2,m7,m10,,,,,,,,,,,
