task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t156,harvest,m17,m17_s1,segment,r4,hungarian,2026-01-01T08:27:58.54,e756,2026-01-01T08:40:36.00,2026-01-01T08:41:00.36
t57,final_inspection,m6,,mission,r7,hungarian,2026-01-01T08:28:46.48,e763,2026-01-01T08:31:39.46,2026-01-01T08:31:48.69
t76,final_inspection,m8,,mission,r3,hungarian,2026-01-01T08:29:05.84,e770,2026-01-01T08:32:49.37,2026-01-01T08:32:57.27
t187,harvest,m20,m20_s2,segment,r4,hungarian,2026-01-01T08:29:25.55,e775,2026-01-01T08:42:09.93,2026-01-01T08:42:34.99
t168,harvest,m18,m18_s2,segment,r8,hungarian,2026-01-01T08:29:43.91,e780,2026-01-01T08:43:30.63,2026-01-01T08:43:59.37
t95,final_inspection,m10,,mission,r3,hungarian,2026-01-01T08:30:13.90,e784,2026-01-01T08:34:31.42,2026-01-01T08:34:38.13
t175,harvest,m19,m19_s1,segment,r4,hungarian,2026-01-01T08:31:14.96,e789,2026-01-01T08:44:11.48,2026-01-01T08:44:34.45
t180,harvest,m19,m19_s3,segment,r1,hungarian,2026-01-01T08:31:39.83,e794,2026-01-01T08:44:03.31,2026-01-01T08:44:23.30
t86,final_inspection,m9,,mission,r7,hungarian,2026-01-01T08:33:22.80,e798,2026-01-01T08:35:24.74,2026-01-01T08:35:33.39
t133,final_inspection,m14,,mission,r3,hungarian,2026-01-01T08:34:58.00,e802,2026-01-01T08:36:38.38,2026-01-01T08:36:47.84
t124,final_inspection,m13,,mission,r7,hungarian,2026-01-01T08:35:02.21,e806,2026-01-01T08:35:57.39,2026-01-01T08:36:06.13
t105,final_inspection,m11,,mission,r7,hungarian,2026-01-01T08:35:56.94,e810,2026-01-01T08:37:06.49,2026-01-01T08:37:13.90
t114,final_inspection,m12,,mission,r3,hungarian,2026-01-01T08:36:38.02,e814,2026-01-01T08:37:27.50,2026-01-01T08:37:35.14
